abs_error,feature,gt_mos,image_name,pred_mos,raw_error
14.12923229508641,[0.02259059 0.02106204 0.01297597 ... 0.02992637 0.01497368 0.02150903],32.56107532210109,100.bmp,46.6903076171875,14.12923229508641
5.882536535898524,[0.02771113 0.0170978  0.00845537 ... 0.0171667  0.0180855  0.0223313 ],66.35954917017587,101.bmp,60.477012634277344,-5.882536535898524
5.54646292860663,[0.01685583 0.02685976 0.02493889 ... 0.01755371 0.01715194 0.01566507],44.69498452012384,102.bmp,50.24144744873047,5.54646292860663
16.585410444729696,[0.02667467 0.02180348 0.01089104 ... 0.02727123 0.01407806 0.02000134],39.2345587325164,103.bmp,55.819969177246094,16.585410444729696
32.20400878165606,[0.02648022 0.0101939  0.01213455 ... 0.02925897 0.01236037 0.02180057],9.22907379891035,104.bmp,41.433082580566406,32.20400878165606
14.414406638332686,[0.02162789 0.02035785 0.03121196 ... 0.02596856 0.01915097 0.01910409],41.33135141830794,105.bmp,55.745758056640625,14.414406638332686
8.190291492624723,[0.02586018 0.03687885 0.03858878 ... 0.01928267 0.02789878 0.01048606],68.92207631318136,106.bmp,60.73178482055664,-8.190291492624723
9.677914718036622,[0.01526155 0.02258646 0.01089849 ... 0.01951739 0.02230709 0.0183525 ],27.957533737773925,107.bmp,37.63544845581055,9.677914718036622
19.513525344386238,[0.02867559 0.014674   0.02573103 ... 0.02276807 0.01855177 0.02107937],75.35151515151514,108.bmp,55.837989807128906,-19.513525344386238
3.252104923642918,[0.01550651 0.00768851 0.00774586 ... 0.02373752 0.01204229 0.02089614],50.63793103448276,109.bmp,47.385826110839844,-3.252104923642918
10.110482352120542,[0.01831885 0.03051258 0.00801938 ... 0.01163226 0.01284405 0.02232379],82.91071428571429,10.bmp,72.80023193359375,-10.110482352120542
25.336918785458522,[0.00852349 0.03096701 0.01205125 ... 0.03052671 0.01919816 0.02109823],32.13690476190476,110.bmp,57.47382354736328,25.336918785458522
11.324394017620818,[0.01648485 0.01809966 0.01476323 ... 0.01773498 0.01101936 0.02806192],51.84153005464481,111.bmp,63.165924072265625,11.324394017620818
15.661707305908202,[0.02173322 0.02412071 0.00709551 ... 0.04762677 0.01103687 0.02247491],30.31875,112.bmp,45.9804573059082,15.661707305908202
